topicId,rank,docId,filename
0,0,18,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Phaedrus.txt
0,1,6,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Xenophon_TheSymposium.txt
0,2,10,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Symposium.txt
0,3,11,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Crito.txt
0,4,8,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_TheMento.txt
0,5,17,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_EmperorJulian_Mispogon.txt
0,6,16,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_NicomacheanEthics.txt
0,7,15,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Metaphysics.txt
0,8,14,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_MarcusAureliusAntonius_Meditations.txt
0,9,13,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Plotinus_SixEnneads.txt
0,10,12,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Physics.txt
0,11,9,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Phaedo.txt
0,12,7,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_OldAge.txt
0,13,5,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_SelectedLettersShuckburgh.txt
0,14,4,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_politics.txt
0,15,3,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Poetics.txt
0,16,2,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_OnFriendshipOrLaelius.txt
0,17,1,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Republic.txt
0,18,0,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Gorgias.txt
1,0,13,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Plotinus_SixEnneads.txt
1,1,3,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Poetics.txt
1,2,1,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Republic.txt
1,3,4,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_politics.txt
1,4,14,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_MarcusAureliusAntonius_Meditations.txt
1,5,5,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_SelectedLettersShuckburgh.txt
1,6,18,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Phaedrus.txt
1,7,6,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Xenophon_TheSymposium.txt
1,8,2,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_OnFriendshipOrLaelius.txt
1,9,9,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Phaedo.txt
1,10,7,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_OldAge.txt
1,11,17,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_EmperorJulian_Mispogon.txt
1,12,16,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_NicomacheanEthics.txt
1,13,15,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Metaphysics.txt
1,14,12,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Physics.txt
1,15,11,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Crito.txt
1,16,10,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Symposium.txt
1,17,8,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_TheMento.txt
1,18,0,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Gorgias.txt
2,0,12,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Physics.txt
2,1,13,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Plotinus_SixEnneads.txt
2,2,15,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Metaphysics.txt
2,3,1,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Republic.txt
2,4,14,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_MarcusAureliusAntonius_Meditations.txt
2,5,5,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_SelectedLettersShuckburgh.txt
2,6,6,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Xenophon_TheSymposium.txt
2,7,16,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_NicomacheanEthics.txt
2,8,18,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Phaedrus.txt
2,9,10,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Symposium.txt
2,10,7,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_OldAge.txt
2,11,9,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Phaedo.txt
2,12,2,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_OnFriendshipOrLaelius.txt
2,13,17,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_EmperorJulian_Mispogon.txt
2,14,11,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Crito.txt
2,15,8,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_TheMento.txt
2,16,4,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_politics.txt
2,17,3,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Poetics.txt
2,18,0,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Gorgias.txt
3,0,14,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_MarcusAureliusAntonius_Meditations.txt
3,1,17,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_EmperorJulian_Mispogon.txt
3,2,6,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Xenophon_TheSymposium.txt
3,3,13,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Plotinus_SixEnneads.txt
3,4,18,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Phaedrus.txt
3,5,16,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_NicomacheanEthics.txt
3,6,15,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Metaphysics.txt
3,7,12,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Physics.txt
3,8,11,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Crito.txt
3,9,10,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Symposium.txt
3,10,9,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Phaedo.txt
3,11,8,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_TheMento.txt
3,12,7,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_OldAge.txt
3,13,5,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_SelectedLettersShuckburgh.txt
3,14,4,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_politics.txt
3,15,3,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Poetics.txt
3,16,2,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_OnFriendshipOrLaelius.txt
3,17,1,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Republic.txt
3,18,0,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Gorgias.txt
4,0,5,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_SelectedLettersShuckburgh.txt
4,1,4,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_politics.txt
4,2,2,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_OnFriendshipOrLaelius.txt
4,3,1,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Republic.txt
4,4,10,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Symposium.txt
4,5,7,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_OldAge.txt
4,6,17,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_EmperorJulian_Mispogon.txt
4,7,6,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Xenophon_TheSymposium.txt
4,8,18,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Phaedrus.txt
4,9,14,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_MarcusAureliusAntonius_Meditations.txt
4,10,0,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Gorgias.txt
4,11,9,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Phaedo.txt
4,12,13,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Plotinus_SixEnneads.txt
4,13,11,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Crito.txt
4,14,8,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_TheMento.txt
4,15,16,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_NicomacheanEthics.txt
4,16,3,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Poetics.txt
4,17,15,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Metaphysics.txt
4,18,12,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Physics.txt
5,0,6,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Xenophon_TheSymposium.txt
5,1,18,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Phaedrus.txt
5,2,17,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_EmperorJulian_Mispogon.txt
5,3,16,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_NicomacheanEthics.txt
5,4,15,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Metaphysics.txt
5,5,14,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_MarcusAureliusAntonius_Meditations.txt
5,6,13,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Plotinus_SixEnneads.txt
5,7,12,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Physics.txt
5,8,11,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Crito.txt
5,9,10,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Symposium.txt
5,10,9,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Phaedo.txt
5,11,8,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_TheMento.txt
5,12,7,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_OldAge.txt
5,13,5,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_SelectedLettersShuckburgh.txt
5,14,4,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_politics.txt
5,15,3,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Poetics.txt
5,16,2,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_OnFriendshipOrLaelius.txt
5,17,1,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Republic.txt
5,18,0,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Gorgias.txt
6,0,13,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Plotinus_SixEnneads.txt
6,1,1,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Republic.txt
6,2,9,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Phaedo.txt
6,3,12,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Physics.txt
6,4,14,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_MarcusAureliusAntonius_Meditations.txt
6,5,6,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Xenophon_TheSymposium.txt
6,6,18,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Phaedrus.txt
6,7,10,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Symposium.txt
6,8,2,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_OnFriendshipOrLaelius.txt
6,9,7,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_OldAge.txt
6,10,4,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_politics.txt
6,11,5,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_SelectedLettersShuckburgh.txt
6,12,0,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Gorgias.txt
6,13,3,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Poetics.txt
6,14,16,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_NicomacheanEthics.txt
6,15,15,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Metaphysics.txt
6,16,8,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_TheMento.txt
6,17,17,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_EmperorJulian_Mispogon.txt
6,18,11,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Crito.txt
7,0,5,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_SelectedLettersShuckburgh.txt
7,1,2,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_OnFriendshipOrLaelius.txt
7,2,7,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_OldAge.txt
7,3,14,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_MarcusAureliusAntonius_Meditations.txt
7,4,17,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_EmperorJulian_Mispogon.txt
7,5,1,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Republic.txt
7,6,18,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Phaedrus.txt
7,7,16,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_NicomacheanEthics.txt
7,8,15,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Metaphysics.txt
7,9,13,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Plotinus_SixEnneads.txt
7,10,12,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Physics.txt
7,11,11,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Crito.txt
7,12,10,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Symposium.txt
7,13,9,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Phaedo.txt
7,14,8,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_TheMento.txt
7,15,6,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Xenophon_TheSymposium.txt
7,16,4,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_politics.txt
7,17,3,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Poetics.txt
7,18,0,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Gorgias.txt
8,0,13,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Plotinus_SixEnneads.txt
8,1,4,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_politics.txt
8,2,12,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Physics.txt
8,3,15,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Metaphysics.txt
8,4,1,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Republic.txt
8,5,16,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_NicomacheanEthics.txt
8,6,3,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Poetics.txt
8,7,14,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_MarcusAureliusAntonius_Meditations.txt
8,8,5,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_SelectedLettersShuckburgh.txt
8,9,9,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Phaedo.txt
8,10,0,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Gorgias.txt
8,11,2,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_OnFriendshipOrLaelius.txt
8,12,18,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Phaedrus.txt
8,13,10,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Symposium.txt
8,14,6,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Xenophon_TheSymposium.txt
8,15,7,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_OldAge.txt
8,16,8,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_TheMento.txt
8,17,17,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_EmperorJulian_Mispogon.txt
8,18,11,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Crito.txt
9,0,13,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Plotinus_SixEnneads.txt
9,1,4,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_politics.txt
9,2,3,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Poetics.txt
9,3,12,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Physics.txt
9,4,10,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Symposium.txt
9,5,15,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Metaphysics.txt
9,6,7,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_OldAge.txt
9,7,17,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_EmperorJulian_Mispogon.txt
9,8,11,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Crito.txt
9,9,8,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_TheMento.txt
9,10,5,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_SelectedLettersShuckburgh.txt
9,11,18,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Phaedrus.txt
9,12,16,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_NicomacheanEthics.txt
9,13,14,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_MarcusAureliusAntonius_Meditations.txt
9,14,9,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Phaedo.txt
9,15,6,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Xenophon_TheSymposium.txt
9,16,2,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_OnFriendshipOrLaelius.txt
9,17,1,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Republic.txt
9,18,0,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Gorgias.txt
10,0,15,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Metaphysics.txt
